Qty,Reference(s),Value,Footprint,Datasheet
2,"D1, D2",LED_Dual_2pin,LED_THT:LED_D5.0mm,~
1,D3,LED,LED_THT:LED_D5.0mm,~
1,J1,SAMPLE,elektrophon:Jack_3.5mm_WQP-PJ398SM_Vertical,~
2,"J2, J5",IN,elektrophon:Jack_3.5mm_WQP-PJ398SM_Vertical,~
2,"J3, J6",VC,elektrophon:Jack_3.5mm_WQP-PJ398SM_Vertical,~
1,J4,HOLD,elektrophon:Jack_3.5mm_WQP-PJ398SM_Vertical,~
2,"J7, J9",OUT,elektrophon:Jack_3.5mm_WQP-PJ398SM_Vertical,~
2,"J8, J10",CYCLE,elektrophon:Jack_3.5mm_WQP-PJ398SM_Vertical,~
1,J11,HOT,elektrophon:Jack_3.5mm_WQP-PJ398SM_Vertical,~
1,J12,5V,elektrophon:Jack_3.5mm_WQP-PJ398SM_Vertical,~
1,J13,Conn_01x12_Male,Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical,~
1,J14,Conn_01x09_Male,Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical,~
4,"RV1, RV2, RV3, RV4",50k,elektrophon:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,~
