Reference, Quantity, Value, Footprint
D1 D2 D6 D5 ,4,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal
D3 D4 D7 D8 ,4,WP710A10L,LED_THT:LED_D3.0mm
D9 D10 ,2,LED_Dual_2pin,LED_THT:LED_D5.0mm
J1 ,1,IN_1a,elektrophon:Jack_3.5mm_WQP-PJ398SM_Vertical
J2 ,1,IN_2a,elektrophon:Jack_3.5mm_WQP-PJ398SM_Vertical
J3 ,1,OUT_a,elektrophon:Jack_3.5mm_WQP-PJ398SM_Vertical
J4 ,1,IN_1b,elektrophon:Jack_3.5mm_WQP-PJ398SM_Vertical
J5 ,1,IN_2b,elektrophon:Jack_3.5mm_WQP-PJ398SM_Vertical
J6 ,1,OUT_b,elektrophon:Jack_3.5mm_WQP-PJ398SM_Vertical
J7 ,1,Conn_01x10_Male,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical
Q1 Q2 Q3 Q4 ,4,BC550,Package_TO_SOT_THT:TO-92_Inline_Wide
R1 R2 ,2,1k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal
R11 R12 ,2,490,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal
R3 R4 R7 R8 ,4,100k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal
R5 R6 R9 R10 ,4,5.6k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal
RV1 RV2 RV3 RV4 ,4,100k,elektrophon:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical
U1 ,1,TL072,Package_DIP:DIP-8_W7.62mm
